test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci DomAndDom 2.0 1 0.0000000	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.45	0.46	0.58	0.32	0.44
PowerTwoLoci DomAndDom 2.4 1 0.0000000	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.63	0.41	0.48	0.53	0.62	0.41	0.47
PowerTwoLoci DomAndDom 2.6 1 0.0000000	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.64	0.43	0.48	0.51	0.63	0.42	0.48
PowerTwoLoci RecOrRec 1.2 1 0.0000000	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.1	0.16
PowerTwoLoci RecOrRec 1.6 1 0.0000000	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.31	0.45	0.18	0.27
PowerTwoLoci RecOrRec 2.0 1 0.0000000	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.54	0.27	0.34	0.38	0.53	0.27	0.34
PowerTwoLoci RecOrRec 2.4 1 0.0000000	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.42	0.55	0.35	0.4	0.41	0.55	0.35	0.4
PowerTwoLoci RecOrRec 2.6 1 0.0000000	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.59	0.34	0.41	0.45	0.57	0.34	0.41
PowerTwoLoci Threshold 1.2 1 0.0000000	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.11	0.17	0.23	0.38	0.1	0.16
PowerTwoLoci Threshold 1.6 1 0.0000000	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.32	0.46	0.19	0.27	0.31	0.45	0.18	0.27
