test model relativeRisk haplotypeLength recFrac Training_mTDT_minFreq10.00000_01 Training_mTDT_minFreq10.00000_05 Training_mTDT_minFreq10.00000_001 Training_mTDT_minFreq10.00000_005 Training_ScoreTDT_01 Training_ScoreTDT_05 Training_ScoreTDT_001 Training_ScoreTDT_005 Training_ScoreTDT_minFreq10.00000_01 Training_ScoreTDT_minFreq10.00000_05 Training_ScoreTDT_minFreq10.00000_001 Training_ScoreTDT_minFreq10.00000_005 Training_mTDT1T_01 Training_mTDT1T_05 Training_mTDT1T_001 Training_mTDT1T_005 Training_mTDT1T_minFreq10.00000_01 Training_mTDT1T_minFreq10.00000_05 Training_mTDT1T_minFreq10.00000_001 Training_mTDT1T_minFreq10.00000_005 Training_mTDTP_01 Training_mTDTP_05 Training_mTDTP_001 Training_mTDTP_005 Training_mTDT1_01 Training_mTDT1_05 Training_mTDT1_001 Training_mTDT1_005 Training_mTDT1_minFreq10.00000_01 Training_mTDT1_minFreq10.00000_05 Training_mTDT1_minFreq10.00000_001 Training_mTDT1_minFreq10.00000_005 Training_mTDTYateAlpha_0.50000_01 Training_mTDTYateAlpha_0.50000_05 Training_mTDTYateAlpha_0.50000_001 Training_mTDTYateAlpha_0.50000_005 
PowerTwoLoci DomOrDom 2.0 1 0.0000500 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.3 0.11 0.18
PowerTwoLoci DomOrDom 2.0 1 0.0001000 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04
PowerTwoLoci DomOrDom 2.0 1 0.0001500 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.15 0.01 0.03
PowerTwoLoci DomOrDom 2.0 1 0.0002000 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07 0.08 0.16 0.06 0.07
PowerTwoLoci DomOrDom 2.4 1 0.0000000 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29
PowerTwoLoci DomOrDom 2.4 1 0.0000500 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.33 0.14 0.23
PowerTwoLoci DomOrDom 2.4 1 0.0001000 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.03 0.04 0.07 0.11 0.02 0.04
PowerTwoLoci DomOrDom 2.4 1 0.0001500 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.19 0.02 0.07 0.07 0.18 0.02 0.07
PowerTwoLoci DomOrDom 2.4 1 0.0002000 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06 0.09 0.21 0.06 0.06
PowerTwoLoci DomOrDom 2.6 1 0.0000000 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.44 0.26 0.32 0.33 0.42 0.26 0.32
PowerTwoLoci DomOrDom 2.6 1 0.0000500 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23 0.27 0.34 0.18 0.23
PowerTwoLoci DomOrDom 2.6 1 0.0001000 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04 0.06 0.11 0.03 0.04
PowerTwoLoci DomOrDom 2.6 1 0.0001500 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.19 0.03 0.07 0.07 0.18 0.03 0.07
PowerTwoLoci DomOrDom 2.6 1 0.0002000 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06 0.09 0.22 0.06 0.06
PowerTwoLoci DomAndDom 1.2 1 0.0000000 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.2 0.24 0.26 0.35 0.19 0.24
PowerTwoLoci DomAndDom 1.2 1 0.0000500 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1 0.1 0.2 0.05 0.1
PowerTwoLoci DomAndDom 1.2 1 0.0001000 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.05 0.05 0.1 0.01 0.04
PowerTwoLoci DomAndDom 1.2 1 0.0001500 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.11 0.01 0.03 0.04 0.1 0.01 0.03
PowerTwoLoci DomAndDom 1.2 1 0.0002000 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07 0.07 0.16 0.05 0.07
PowerTwoLoci DomAndDom 1.6 1 0.0000000 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.42 0.2 0.28 0.3 0.41 0.2 0.28
PowerTwoLoci DomAndDom 1.6 1 0.0000500 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.1 0.14 0.17 0.3 0.09 0.14
PowerTwoLoci DomAndDom 1.6 1 0.0001000 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03 0.04 0.1 0.02 0.03
PowerTwoLoci DomAndDom 1.6 1 0.0001500 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.05 0.12 0 0.02 0.04 0.11 0 0.02
PowerTwoLoci DomAndDom 1.6 1 0.0002000 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07 0.07 0.18 0.05 0.07
PowerTwoLoci DomAndDom 2.0 1 0.0000000 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.34 0.38 0.27 0.3 0.33 0.38 0.27 0.3
PowerTwoLoci DomAndDom 2.0 1 0.0000500 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.31 0.11 0.19 0.24 0.3 0.11 0.18
PowerTwoLoci DomAndDom 2.0 1 0.0001000 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04 0.04 0.11 0.02 0.04
PowerTwoLoci DomAndDom 2.0 1 0.0001500 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.16 0.01 0.04 0.06 0.15 0.01 0.03
PowerTwoLoci DomAndDom 2.0 1 0.0002000 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07 0.08 0.17 0.06 0.07
PowerTwoLoci DomAndDom 2.4 1 0.0000000 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29 0.33 0.42 0.26 0.29
PowerTwoLoci DomAndDom 2.4 1 0.0000500 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.34 0.14 0.24 0.27 0.33 0.14 0.23
